"","x"
"1","Gm17684"
"2","Npas2"
"3","Nck2"
"4","Gulp1"
"5","Col3a1"
"6","Tmem194b"
"7","Gm8292"
"8","Spats2l"
"9","Pard3b"
"10","Zdbf2"
"11","Acsl3,Utp14b"
"12","Ptma"
"13","Sh3bp4"
"14","Lrrfip1"
"15","Ramp1"
"16","En1"
"17","Gm8217"
"18","Lrrn2"
"19","Kdm5b"
"20","Csrp1"
"21","Phlda3"
"22","Tnni1"
"23","Aspm"
"24","Rnasel"
"25","Pigm"
"26","Kif26b"
"27","Susd4"
"28","Nsl1"
"29","Ints7"
"30","Mcm3"
"31","Prim2"
"32","Col5a2"
"33","Slc40a1"
"34","Akr1cl"
"35","Erbb4"
"36","Bard1"
"37","Fn1"
"38","Ap1s3"
"39","Hjurp"
"40","Arl4c"
"41","Kif1a"
"42","Gli2"
"43","Nckap5"
"44","Mcm6"
"45","Ppfia4"
"46","Ipo9"
"47","Nav1"
"48","Hmcn1"
"49","Rnf2"
"50","Rgl1"
"51","Soat1"
"52","Ralgps2"
"53","Rabgap1l"
"54","Mpzl1"
"55","Pbx1"
"56","Hsd17b7"
"57","Vangl2"
"58","Casq1"
"59","Vash2"
"60","Camk1g"
"61","Plagl1"
"62","Nhsl1"
"63","Epb4.1l2"
"64","Arhgap18"
"65","Ptprk"
"66","Hddc2"
"67","Lama4"
"68","Wasf1"
"69","Mical1"
"70","Cd24a"
"71","Slc35f1"
"72","Tbata"
"73","Dna2"
"74","Ctnna3"
"75","Rtkn2"
"76","Lss"
"77","Cirbp"
"78","Lta4h"
"79","Btg1"
"80","Gm15662"
"81","E2f7"
"82","Csrp2"
"83","Prim1"
"84","Pan2"
"85","1700052N19Rik"
"86","Akap12"
"87","Gpr126"
"88","3110003A17Rik"
"89","Tcf21"
"90","Hey2"
"91","Marcks"
"92","E130307A14Rik"
"93","Unc5b"
"94","Adamts14"
"95","Col13a1"
"96","Tet1"
"97","Arid5b"
"98","1700040L02Rik"
"99","Cdk1"
