"","x"
"1","Rb1cc1"
"2","Pcmtd1"
"3","Dst"
"4","Plekhb2"
"5","Mrpl30"
"6","Tmem182"
"7","Coq10b"
"8","Aox1"
"9","Ndufb3"
"10","Stradb"
"11","Fam117b"
"12","Bcs1l"
"13","Cyp27a1"
"14","Dnajb2"
"15","Des"
"16","Sp100"
"17","Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a8,Ugt1a9"
"18","Cxcr7"
"19","Scly"
"20","Gpc1"
"21","Fam174a"
"22","Slc35f5"
"23","5430435G22Rik"
"24","Slc41a1"
"25","Klhdc8a"
"26","Plekha6"
"27","Cacna1s"
"28","Glul"
"29","Gm10031"
"30","Mrps14"
"31","Brp44"
"32","Creg1"
"33","Tmco1"
"34","Rxrg"
"35","Rgs5"
"36","Efcab2"
"37","Cnst"
"38","Lpgat1"
"39","Slco5a1"
"40","1110058L19Rik"
"41","Gm10925"
"42","Ankrd23"
"43","6330578E17Rik"
"44","Fhl2"
"45","Obfc2a"
"46","Mfsd6"
"47","Trak2"
"48","Myl1"
"49","Mreg"
"50","Atg9a"
"51","Tuba4a"
"52","Per2"
"53","Ndufa10"
"54","Hdlbp"
"55","Dars"
"56","Cd55"
"57","Pfkfb2"
"58","Mapkapk2"
"59","Cdk18"
"60","Prelp"
"61","Cfh"
"62","Prg4"
"63","Gm5532"
"64","Prdx6"
"65","Fmo2"
"66","Mgst3"
"67","Rgs4"
"68","Atf6"
"69","Gm2962"
"70","Atp1a2"
"71","AI607873"
"72","Ifi202b"
"73","Ifi205"
"74","Tfb2m"
"75","Adck3"
"76","Ephx1"
"77","Rpl35a-ps2"
"78","G0s2"
"79","Epm2a"
"80","Fuca2"
"81","Hivep2"
"82","Txlnb"
"83","Ifngr1"
"84","Sesn1"
"85","Rtn4ip1"
"86","Nus1"
"87","Pln"
"88","P4ha1"
"89","Psap"
"90","Lrrc20"
"91","Ppa1"
"92","Rhobtb1"
"93","Chchd10"
"94","Itgb2"
"95","Icosl"
"96","Cdc34"
"97","Bsg"
"98","Hcn2"
"99","Cfd"
"100","Ndufs7"
"101","Apba3"
"102","Aes"
"103","Tcp11l2"
"104","Pah"
"105","Dcn"
"106","Kitl"
"107","Ptprb"
"108","Tmbim4"
"109","Gns"
"110","Cs"
"111","Itga7"
"112","Gm8355"
"113","Hint3"
"114","Amd1"
"115","Armc2"
"116","Qrsl1"
"117","Ddit4"
"118","Srgn"
"119","Mypn"
"120","Cisd1"
"121","Gm6419"
"122","Ddt,Gm20441,Gstt3"
"123","D10Jhu81e"
"124","Trappc10"
"125","Adamtsl5"
"126","Uqcr11"
"127","Lingo3"
"128","Mterfd3"
"129","Fabp3-ps1"
"130","Chpt1"
"131","Nudt4"
"132","Lyz2"
"133","Rassf3"
"134","Coq10a"
"135","Suox"
"136","Dusp18"
"137","Ogdh"
"138","Adcy1"
"139","Akt2-ps"
"140","Psme4"
"141","Hba-a1"
"142","Hba-a2"
"143","Gm12141"
"144","Trim7"
"145","Gfpt2"
"146","Sar1b"
"147","Irf1"
"148","P4ha2"
"149","Fnip1"
"150","Igtp"
"151","Irgm2"
"152","4933439F18Rik"
"153","Map2k3"
"154","Eno3"
"155","Kif1c"
"156","P2rx5"
"157","2610507B11Rik"
"158","Adap2"
"159","Rhbdl3"
"160","Rasl10b"
"161","Ankrd40"
"162","Tcap"
"163","Gm11560"
"164","Cd300lg"
"165","Mapt"
"166","Ace"
"167","Taco1"
"168","1810043H04Rik"
"169","Mtfp1"
"170","Kremen1"
"171","Pgam2"
"172","Gck"
"173","Tmed4"
"174","Cep68"
"175","Ugp2"
"176","Mdh1"
"177","Ccdc85a"
"178","Ccng1"
"179","Cyfip2"
"180","Gm12185,Tgtp1"
"181","Phf15"
"182","Slc22a5"
"183","Pdlim4"
"184","Gm12231"
"185","Slc36a2"
"186","Rangrf"
"187","Pfas"
"188","Cd68"
"189","Slc2a4"
"190","Acadvl"
"191","Slc25a11"
"192","Cyb5d2"
"193","Rap1gap2"
"194","Ccl9"
"195","Ccl6"
"196","Sgca"
"197","Pdk2"
"198","Atp5g1"
"199","Krt222"
"200","Gm10039"
"201","Stat5b"
"202","Stat3"
"203","Cyb561"
"204","Scn4a"
"205","Scn4a"
"206","Kpna2"
"207","Wipi1"
"208","Abca8b"
"209","Abca8a"
"210","Acox1"
"211","Cygb"
"212","Socs3"
"213","1810049H13Rik"
"214","Myadml2"
"215","Dcxr"
"216","Cbr2"
"217","E2f6"
"218","Rock2"
"219","Nampt"
"220","Pnpla8"
"221","Klhdc1"
"222","Atp5s"
"223","4933426M11Rik"
"224","Ptgr2"
"225","Dlst"
"226","Esrrb"
"227","Ahsa1"
"228","Serpina3n"
"229","Glrx5"
"230","Tnfaip2"
"231","Crip1"
"232","Ptprn2"
"233","Ubxn2a"
"234","Rhob"
"235","Lpin1"
"236","Dld"
"237","Gm1818"
"238","Strn3"
"239","Heatr5a"
"240","Egln3"
"241","Sos2"
"242","L2hgdh"
"243","Six4"
"244","Trmt5"
"245","Rplp2-ps1"
"246","Spnb1"
"247","Gm5436"
"248","Entpd5"
"249","Aldh6a1"
"250","Pgf"
"251","Nek9"
"252","Ttc7b"
"253","Lgmn"
"254","Ddx24"
"255","Ifi27l2a,Ifi27l2b"
"256","Slc25a29"
"257","Ankrd9"
"258","2010107E04Rik"
"259","B3galnt2"
"260","AK157302"
"261","Hist1h4h"
"262","Hist1h2bc"
"263","Hist1h1c"
"264","Serpinb6b"
"265","Dsp"
"266","BC024659"
"267","Sirt5"
"268","Dapk1"
"269","Slc12a7"
"270","Erap1"
"271","Gm4149"
"272","Ell2"
"273","Mtr"
"274","1600012F09Rik"
"275","Vdac3-ps1"
"276","Gm11273"
"277","Gmnn"
"278","Acot13"
"279","Uqcrfs1"
"280","Mylk4"
"281","F13a1"
"282","Gfod1"
"283","Ccdc90a"
"284","Dtnbp1"
"285","Nhlrc1"
"286","Wnk2"
"287","Auh"
"288","Agtpbp1"
"289","Isca1"
"290","Uqcrb"
"291","Ube2ql1"
"292","Ndufs6"
"293","Lrrc14b"
"294","Cast"
"295","Cox7c"
"296","Ckmt2"
"297","Rasgrf2"
"298","Cmya5"
"299","Pik3r1"
"300","Apoo-ps"
"301","Gm15285"
"302","Thrb"
"303","Nudt13"
"304","Chchd1"
"305","Gm16241"
"306","Asb14"
"307","Lrtm1"
"308","Galntl2"
"309","Ogdhl"
"310","Gm8113"
"311","Gm16439"
"312","Ktn1"
"313","Ang,Rnase4"
"314","Dhrs4"
"315","Cab39l"
"316","Ctsb"
"317","Scara5"
"318","Clu"
"319","Adra1a"
"320","Phyhip"
"321","Nudt18"
"322","Sucla2"
"323","Tm9sf2"
"324","Itgbl1"
"325","Fam107a"
"326","Lrrc3b"
"327","Nr1d2"
"328","Mrps16"
"329","Timm23"
"330","3425401B19Rik"
"331","Gcap14"
"332","Ghitm"
"333","Gm6055"
"334","A930018M24Rik"
"335","Ndrg2"
"336","Sdr39u1"
"337","Sgcg"
"338","Kpna3"
"339","6330409N04Rik"
"340","Ephx2"
"341","Dock5"
"342","Slc39a14"
"343","Dnajc15"
"344","1190002H23Rik"
"345","Gm10110"
"346","Abcc4"
"347","Sepp1"
"348","Oxct1"
"349","Amacr"
"350","Ank"
"351","Cmbl"
"352","Ndufb9"
"353","Trib1"
"354","Ly6e"
"355","Gpihbp1"
"356","Cyc1"
"357","Gpt"
"358","Mpst"
"359","Syngr1"
"360","Csdc2"
"361","Samm50"
"362","Fbln1"
"363","Ppara"
"364","Fam19a5"
"365","Pim3"
"366","Tmem117"
"367","Pfkm"
"368","Gpd1"
"369","2310016M24Rik"
"370","Mettl7a1"
"371","Nr4a1"
"372","Tenc1"
"373","Igfbp6"
"374","Gm10250"
"375","Dnajc21"
"376","Ankrd33b"
"377","Cox6c"
"378","Abra"
"379","Angpt1"
"380","Gm10020"
"381","Enpp2"
"382","Fbxo32"
"383","Tmem65"
"384","Lynx1"
"385","Ly6a"
"386","Ly6c1"
"387","Naprt1"
"388","Mb"
"389","Txn2"
"390","Tob2"
"391","Cyp2d22"
"392","Pacsin2"
"393","Ttll1"
"394","Gm8759"
"395","Kif21a"
"396","Abcd2"
"397","Prkag1"
"398","Dnaja3,Vasn"
"399","3110001I22Rik,Bfar"
"400","Abcc1"
"401","Cebpd"
"402","Rtn4r"
"403","Bdh1"
"404","2310010M20Rik"
"405","Tfrc"
"406","Kpna1"
"407","Gm7204"
"408","Retnla"
"409","Cpox"
"410","Jam2"
"411","Ifnar2,Il10rb,RP23-190G10.4"
"412","Adcy9"
"413","Ppl"
"414","Dexi"
"415","Myh11"
"416","0610037P05Rik"
"417","D16H22S680E"
"418","Bcl6"
"419","Lrrc15"
"420","Apod"
"421","Parp14"
"422","Fbxo40"
"423","Ndufb4"
"424","Pla1a"
"425","Col8a1"
"426","Synj2"
"427","Brp44l"
"428","Sod2"
"429","Smoc2"
"430","Rpl3l"
"431","Sepx1"
"432","Tmem8"
"433","Pacsin1"
"434","Anks1"
"435","BC004004"
"436","Pi16"
"437","Ndufv3"
"438","Tap2"
"439","H2-Ab1"
"440","D17H6S56E-3"
"441","Ier3"
"442","Mut"
"443","Gpr116"
"444","Rcan2"
"445","Clic5"
"446","Fem1a"
"447","Ndufa11"
"448","Clpp"
"449","Alkbh7"
"450","Trip10"
"451","Emr1"
"452","Fam179a"
"453","Clip4"
"454","Galm"
"455","Epas1"
"456","Gm5499"
"457","Ttc7"
"458","Slc22a3"
"459","Paqr4"
"460","Slc9a3r2"
"461","Ndufb10"
"462","Dusp1"
"463","2900010M23Rik"
"464","Ip6k3"
"465","D17Wsu92e"
"466","Glo1"
"467","Sik1"
"468","Psmb9"
"469","C4b"
"470","Enpp4"
"471","Mrps36-ps1"
"472","Plin4"
"473","Plin5"
"474","Lrg1"
"475","Dpp9"
"476","Plin3"
"477","2410015M20Rik"
"478","Lonp1"
"479","Ndufv2"
"480","Rab12"
"481","Xdh"
"482","Memo1"
"483","Impact"
"484","Lims2"
"485","0610010O12Rik"
"486","0610009O20Rik"
"487","Sh3rf2"
"488","F830016B08Rik"
"489","Iigp1"
"490","Cd74"
"491","Csf1r"
"492","Myo5b"
"493","Pstpip2"
"494","Dsc2"
"495","Rprd1a"
"496","Reep5"
"497","Gm1614"
"498","Ndufa2"
"499","Gm9781"
"500","Fech"
"501","4933403F05Rik"
"502","Acy3"
"503","Doc2g,Nudt8"
"504","Ctsf"
"505","B3gnt1"
"506","Yif1a"
"507","Gal3st3"
"508","Batf2"
"509","Pygm"
"510","Pla2g16"
"511","Lrrn4cl"
"512","Fth1"
"513","Ms4a4d"
"514","2410127L17Rik"
"515","Aldh1a1"
"516","Gm5514"
"517","Klf9"
"518","Dock8"
"519","Il33"
"520","Papss2"
"521","Pten"
"522","Fas"
"523","Pcgf5"
"524","Gsto1"
"525","Lrp5"
"526","Gstp1"
"527","Neat1"
"528","Vegfb"
"529","Slc3a2"
"530","Rom1"
"531","Sdhaf2"
"532","Tmem109"
"533","Cntf,Zfp91"
"534","Vps13a"
"535","Gda"
"536","Atad1"
"537","Ppp1r3c"
"538","Sorbs1"
"539","Rrp12"
"540","Got1"
"541","Scd1"
"542","Gm20538,Ndufb8,Sec31b"
"543","Kcnip2"
"544","Gpam"
"545","Gfra1"
"546","Prdx3"
"547","Cdnf"
"548","Phyh"
"549","Mrc1"
"550","Otud1"
"551","Rapgef1"
"552","Hmcn2"
"553","Ppapdc3"
"554","Gsn"
"555","Gm13443"
"556","Arpc5l"
"557","Xirp2"
"558","Pacsin3"
"559","Apip"
"560","Fbxo3"
"561","Immp1l"
"562","Gm13910"
"563","Bdnf"
"564","2900064A13Rik"
"565","B2m"
"566","Sord"
"567","Sqrdl"
"568","Mavs"
"569","Prnd,Prnp"
"570","Gm561"
"571","4930529M08Rik"
"572","Plk1s1"
"573","Pygb"
"574","Gm14148"
"575","Id1"
"576","Gm14494"
"577","Map1lc3a"
"578","Acss2"
"579","Wisp2"
"580","Rbm38"
"581","Gm14420"
"582","Meig1"
"583","Optn"
"584","Echdc3"
"585","Atp5c1"
"586","Gm13340"
"587","Mrpl41"
"588","Tubb4b"
"589","Ptgds"
"590","Camsap1"
"591","C330006A16Rik"
"592","Qsox2"
"593","Ntng2"
"594","D2Wsu81e"
"595","Ndufa8"
"596","Mmadhc"
"597","Itgb6"
"598","Grb14"
"599","Scn7a"
"600","Gpr155"
"601","Atp5g3"
"602","Mrpl23-ps1"
"603","Ttc30b"
"604","Serping1"
"605","Ndufs3"
"606","B230118H07Rik,Rag1"
"607","Pdhx"
"608","Cat"
"609","A430105I19Rik"
"610","Ppip5k1"
"611","Mal"
"612","1500011K16Rik"
"613","Gfra4"
"614","Gpcpd1"
"615","Thbd"
"616","Cst3"
"617","2310001A20Rik"
"618","Acss1"
"619","Pdrg1"
"620","Cdk5rap1"
"621","BC029722"
"622","Jph2"
"623","Fitm2"
"624","Znfx1"
"625","Gm14290"
"626","Atp9a"
"627","Gm4631"
"628","Gm8898"
"629","Gm14421"
"630","Eef1a2"
"631","BC006779"
"632","Pkia"
"633","Mtfr1"
"634","Nceh1"
"635","Tnfsf10"
"636","Mfn1"
"637","Ndufb5"
"638","Intu"
"639","3110057O12Rik"
"640","Larp1b"
"641","Rnf13"
"642","P2ry1"
"643","Mme"
"644","Schip1"
"645","Gm10291"
"646","Ubqln4"
"647","Ctss"
"648","Ensa"
"649","Hfe2"
"650","Slc16a1"
"651","Kcnd3"
"652","6530418L21Rik"
"653","Amigo1"
"654","Dbt"
"655","F3"
"656","Adh1"
"657","Eif4e"
"658","Gbp7"
"659","Kpna4"
"660","Etfdh"
"661","Tmem144"
"662","Fcrls"
"663","Sema4a"
"664","Rusc1"
"665","S100a1"
"666","Gm129"
"667","Pde4dip"
"668","Fam46c"
"669","Atp5f1"
"670","Csf1"
"671","Gstm7"
"672","Gstm2"
"673","Gstm1"
"674","Myoz2"
"675","Gm2078,Mir1895"
"676","Cisd2"
"677","Pdlim5"
"678","Cyr61"
"679","Ptgfr"
"680","Dnajb4"
"681","Acadm"
"682","Coq3"
"683","Dnajb5"
"684","Nr4a3"
"685","Murc"
"686","Fsd1l"
"687","Fktn"
"688","Atp6v1g1"
"689","6330416G13Rik"
"690","Gm11235"
"691","Ak4"
"692","Ppap2b"
"693","Usp24"
"694","Cyb5rl"
"695","Gm12824"
"696","Atpaf1"
"697","Nt5c1a"
"698","Stk40"
"699","BC003266"
"700","Fndc5"
"701","Laptm5"
"702","Asap3"
"703","Tcea3"
"704","Akr7a5"
"705","Aldh4a1"
"706","Sdhb"
"707","Arhgef19"
"708","Dhrs3"
"709","Dffa"
"710","Clstn1"
"711","Gpr157"
"712","Errfi1"
"713","Klhl21"
"714","Pank4"
"715","Tmem52"
"716","2310042D19Rik"
"717","Car8"
"718","Otud6b"
"719","Decr1"
"720","Wwp1"
"721","Pm20d2"
"722","Ndufb6"
"723","AI464131"
"724","Tomm5"
"725","Mrpl50"
"726","Ptpn3"
"727","AI314180"
"728","2310002L09Rik"
"729","Mrpl37"
"730","Cpt2"
"731","Scp2"
"732","Cyp4b1"
"733","Mmachc"
"734","Smap2"
"735","Ndufs5"
"736","Zc3h12a"
"737","Wdtc1"
"738","Extl1"
"739","C1qb"
"740","C1qc"
"741","C1qa"
"742","Pink1"
"743","Nbl1"
"744","Fblim1"
"745","Tmem82"
"746","Slc25a34"
"747","Plekhm2"
"748","Dnajc16"
"749","Mfn2"
"750","Fbxo6"
"751","Rbp7"
"752","Slc25a33"
"753","2810405K02Rik"
"754","Vwa1"
"755","Steap4"
"756","Abcb4"
"757","Magi2"
"758","Fam185a"
"759","Klhl7"
"760","Actr3b"
"761","Hadhb"
"762","Kcnk3"
"763","4930471M23Rik"
"764","Mapre3"
"765","Trim54"
"766","Fosl2"
"767","Fgfr3"
"768","Sod3"
"769","Slain2"
"770","Art3"
"771","Mrpl1"
"772","Golga3"
"773","Iscu"
"774","Acacb"
"775","Coq5"
"776","Tesc"
"777","2410131K14Rik"
"778","Pptc7"
"779","Setd8"
"780","Rasa4"
"781","D830046C22Rik,Gpr146"
"782","Mafk"
"783","2810453I06Rik"
"784","Gm15459"
"785","Cd36"
"786","Asb10"
"787","Gm10221"
"788","Htra3"
"789","Wfs1"
"790","Atp8a1"
"791","Yipf7"
"792","Corin"
"793","Sgcb"
"794","Tecrl"
"795","Scarb2"
"796","Gbp10"
"797","Gbp6"
"798","Atp5k"
"799","Pxmp2"
"800","Cryba4"
"801","Cmklr1"
"802","Trpv4"
